show_id,genres
61483,Family
61483,Animation
61483,Kids
56353,Animation
56353,Comedy
31585,Drama
31585,Crime
62064,Documentary
245485,Documentary
154280,
42410,Action & Adventure
42410,Animation
42410,Drama
42410,Mystery
97735,Family
97735,Drama
32420,Drama
47923,Drama
41974,Comedy
41974,Animation
41392,Drama
41392,Mystery
41392,Crime
60767,Action & Adventure
60767,Reality
37679,Drama
32446,Drama
45039,Animation
45039,Kids
45039,Comedy
45039,Family
32537,Documentary
32537,News
33155,Drama
33835,Animation
33835,Family
33835,Kids
33835,Comedy
67983,Talk
67983,News
67983,Comedy
31203,Reality
39892,Family
39892,Drama
39892,War & Politics
99025,Family
99025,Drama
32014,Sci-Fi & Fantasy
32014,Drama
92250,News
92250,Documentary
31623,Animation
31623,Sci-Fi & Fantasy
31623,Family
31623,Action & Adventure
31623,Kids
32709,Comedy
32709,Drama
33852,Sci-Fi & Fantasy
33852,Drama
87395,
65648,Animation
65648,Comedy
31941,Comedy
36901,Drama
36901,Family
37851,Animation
37851,Action & Adventure
37851,Sci-Fi & Fantasy
38122,Documentary
104885,Talk
54999,Comedy
54999,Drama
54999,Family
57129,Action & Adventure
57129,Reality
85267,Comedy
1426,Crime
1426,Drama
1426,Mystery
31983,Comedy
31983,Drama
38883,Drama
38112,Animation
38112,Action & Adventure
38112,Sci-Fi & Fantasy
38112,Comedy
46579,Mystery
55273,Talk
55273,Reality
33428,Animation
33428,Comedy
129039,Drama
34277,Comedy
34277,Drama
34319,Drama
32955,Drama
32955,Soap
32058,Documentary
37372,
5559,Animation
5559,Comedy
5559,Kids
34367,Comedy
34367,Drama
39290,Reality
29009,Documentary
29009,Reality
117904,Reality
60125,Documentary
34984,Soap
31389,Comedy
31389,Drama
34014,Comedy
34014,Documentary
31808,Drama
31808,Crime
45998,Animation
45998,Comedy
32962,Comedy
32962,Drama
31499,Animation
31499,Comedy
31499,Kids
31162,Drama
56343,Animation
56343,Comedy
56343,Sci-Fi & Fantasy
34335,Comedy
34335,Drama
249965,Family
249965,Comedy
55858,Comedy
40199,Drama
36697,Animation
36697,Comedy
42408,Animation
42408,Comedy
79276,Action & Adventure
79276,Drama
62466,Family
62466,Comedy
62466,Drama
45412,Drama
37636,Comedy
37636,Drama
37636,Sci-Fi & Fantasy
42413,Action & Adventure
42413,Animation
42413,Comedy
42413,Sci-Fi & Fantasy
16997,Drama
16997,Action & Adventure
16997,War & Politics
34481,Reality
40755,Family
40755,Kids
33828,Drama
33091,Crime
33091,Drama
33091,Action & Adventure
201828,
46153,Animation
46153,Comedy
42981,Animation
42981,Action & Adventure
42981,Comedy
42981,Sci-Fi & Fantasy
42981,Family
42981,Kids
115974,Talk
131107,
242348,Action & Adventure
242348,Drama
242348,War & Politics
242348,Sci-Fi & Fantasy
241567,Soap
42421,Animation
42421,Comedy
42421,Action & Adventure
42421,Sci-Fi & Fantasy
38599,Comedy
38599,Reality
32595,Reality
33767,Reality
34408,Comedy
37919,
32406,Comedy
32406,Drama
35532,Animation
35532,Comedy
40841,Crime
56998,Animation
56998,Action & Adventure
56998,Drama
56998,Sci-Fi & Fantasy
245309,Documentary
60780,Reality
59254,Drama
59254,Soap
33234,Drama
37471,Animation
37471,Sci-Fi & Fantasy
37471,Action & Adventure
42942,Animation
42942,Comedy
42942,Drama
42942,Sci-Fi & Fantasy
42942,Action & Adventure
31616,Drama
46099,Drama
40127,Soap
40127,Drama
40127,Mystery
40395,Drama
40395,Crime
40395,Mystery
45410,Action & Adventure
33268,Drama
35278,Drama
214808,Drama
214808,Family
52083,Animation
52083,Comedy
52083,Drama
31885,Drama
31885,Family
39008,Drama
107148,Mystery
107148,Drama
34449,Animation
34449,Kids
34449,Comedy
34449,Family
63977,Animation
63977,Kids
32624,Sci-Fi & Fantasy
32624,Drama
45472,Drama
42552,Mystery
42552,Crime
38084,Animation
38084,Comedy
38084,Drama
38084,Unknown
38084,Sci-Fi & Fantasy
131232,
32916,Soap
59164,Drama
59164,Family
203995,
54583,Comedy
54583,Action & Adventure
54583,Drama
78013,Mystery
78013,Crime
48513,Drama
248329,Comedy
83855,Drama
32037,Animation
32037,Kids
32037,Family
31874,Drama
55271,Comedy
55271,Family
37544,Reality
87144,Drama
89294,Family
89294,Drama
220483,Animation
220483,Action & Adventure
220483,Sci-Fi & Fantasy
220483,Kids
87678,Comedy
33059,Comedy
49482,Drama
128055,Animation
128055,Kids
31561,Drama
45099,Reality
42445,Drama
230499,Mystery
230499,Drama
34517,Reality
32632,Crime
32632,Drama
37012,Reality
41761,Drama
38167,Comedy
38167,Drama
88303,Crime
40484,Drama
40484,Family
233025,
37016,Comedy
37016,Drama
86344,Drama
86344,Action & Adventure
87437,Drama
32789,Reality
33824,
7767,Drama
262250,Action & Adventure
262250,Drama
262250,Sci-Fi & Fantasy
262250,Kids
76533,Action & Adventure
76533,Animation
76533,Comedy
76533,Drama
76533,Family
76533,Kids
76533,Sci-Fi & Fantasy
52017,
48927,Comedy
33309,Reality
33309,Talk
35447,Animation
35447,Comedy
35447,Sci-Fi & Fantasy
38476,Comedy
215655,
7038,Comedy
7038,Documentary
86460,Drama
86460,War & Politics
31853,Drama
123521,Action & Adventure
123521,Animation
66850,Documentary
31634,Drama
31634,Crime
49058,Drama
49058,Mystery
70859,Drama
44995,Comedy
34466,Action & Adventure
34466,Drama
26728,Documentary
26728,Drama
40457,Action & Adventure
40457,Comedy
40457,Animation
40457,Kids
39224,Comedy
39224,Animation
39224,Action & Adventure
250914,
114605,Soap
114605,Comedy
114605,Drama
114605,Family
40308,Reality
36581,Animation
36581,Drama
36581,Sci-Fi & Fantasy
36581,Mystery
54002,Drama
54002,Family
79096,
90316,Reality
19123,Action & Adventure
19123,Animation
19123,Comedy
19123,Drama
130244,Family
130244,Comedy
68005,Animation
68005,Drama
34581,Drama
31606,Action & Adventure
31606,Sci-Fi & Fantasy
31606,Kids
218509,Comedy
121010,Animation
121010,Kids
41059,
31936,Drama
31936,Comedy
31936,Family
49570,Drama
49570,Comedy
49570,Family
32515,Comedy
32515,Drama
32515,Family
51492,Animation
51492,Mystery
254198,Action & Adventure
254198,Crime
254198,Animation
254198,Drama
18848,Animation
18848,Comedy
18848,Action & Adventure
18848,Kids
81058,Documentary
877,Drama
877,Sci-Fi & Fantasy
229008,Reality
154229,
72887,Drama
36536,Crime
36536,Drama
39086,Drama
31963,
84217,Drama
32437,Drama
196557,Animation
196557,Comedy
196557,Sci-Fi & Fantasy
35335,Animation
35335,Family
34327,Comedy
34327,Drama
32118,Animation
32118,Action & Adventure
32118,Kids
32118,Family
35322,Comedy
45419,Reality
72946,Family
33570,
34015,Reality
33665,Reality
38852,Drama
44318,Action & Adventure
44318,Animation
44318,Drama
44318,Sci-Fi & Fantasy
116792,Soap
230005,
34406,Talk
34406,Kids
34406,Animation
31790,Reality
31790,Comedy
32463,Drama
241950,
73297,Reality
73297,Family
56351,Animation
56351,Comedy
56351,Drama
56351,Sci-Fi & Fantasy
31934,Comedy
31934,Drama
31934,Family
39406,
87239,
197692,Drama
37806,Animation
37806,Sci-Fi & Fantasy
37806,Comedy
33297,Reality
33297,Comedy
35289,Animation
35289,Comedy
31780,Reality
50296,Comedy
50296,Drama
59798,Drama
60879,Animation
60879,Sci-Fi & Fantasy
229546,Drama
229546,Family
229546,Reality
32997,Reality
32997,Action & Adventure
83067,Comedy
45413,Comedy
45413,Reality
31549,Action & Adventure
31549,Drama
65991,Reality
242434,Drama
33901,Documentary
57910,Animation
57910,Kids
46000,Animation
46000,Comedy
34370,Drama
61084,Soap
61084,Drama
39115,Reality
39115,Drama
52821,
32942,Comedy
135984,Comedy
37580,Animation
37580,Comedy
17967,Drama
38486,Drama
206617,
67171,Animation
67171,Comedy
39037,Drama
39037,Comedy
41239,Family
35458,Drama
95256,Comedy
95256,Drama
95256,Crime
32249,Drama
32249,Soap
59865,Drama
18823,Drama
34440,Comedy
88841,
219663,
79970,Action & Adventure
79970,Crime
79970,Drama
32351,Animation
32351,Comedy
40962,Drama
72055,Drama
32694,Comedy
32694,Family
41072,Drama
32226,Comedy
32226,Drama
71551,Documentary
44085,Drama
44085,War & Politics
236706,Talk
32729,Drama
32729,Sci-Fi & Fantasy
32729,Comedy
53410,Talk
35423,Animation
35423,Comedy
44578,Animation
44578,Animation
44578,Mystery
44578,Crime
31803,Sci-Fi & Fantasy
31803,Drama
31803,Comedy
65447,Animation
65447,Drama
65447,Crime
222525,
36089,Animation
36089,Sci-Fi & Fantasy
36089,Action & Adventure
33400,Crime
33400,Drama
33400,Comedy
80447,War & Politics
152320,Drama
51585,Animation
51585,Kids
33478,Reality
33478,Documentary
37183,Animation
37183,Drama
37183,Action & Adventure
37183,Sci-Fi & Fantasy
32017,
201081,Soap
201081,Drama
33933,Drama
41580,Documentary
41580,Crime
32656,Comedy
215264,
37867,Animation
37867,Comedy
37867,Action & Adventure
253369,
35605,Reality
35188,Animation
37896,
41552,Documentary
41552,Crime
158736,Reality
139607,Comedy
139607,Drama
53654,Family
53654,Drama
53654,Comedy
34379,Drama
34379,Comedy
86327,Drama
86327,Mystery
41684,Comedy
42412,Action & Adventure
42412,Animation
42412,Sci-Fi & Fantasy
45430,Comedy
32730,Action & Adventure
32730,Drama
32730,Mystery
32730,Sci-Fi & Fantasy
36154,Crime
36154,Documentary
34575,Reality
236945,Comedy
95588,Drama
95588,Family
89995,
32564,Reality
32564,Kids
22780,Drama
225024,Comedy
89115,Drama
89115,Mystery
45500,Animation
45500,Sci-Fi & Fantasy
45500,War & Politics
33072,Drama
33072,Comedy
118005,War & Politics
31827,Drama
54517,Drama
35448,Drama
35448,Action & Adventure
207466,Comedy
207466,Soap
32736,Comedy
32736,Drama
45967,Animation
45967,Comedy
45967,Drama
245473,Drama
245473,War & Politics
245473,Mystery
32357,Drama
32357,Comedy
58306,Drama
34945,Comedy
34945,Drama
254594,Talk
32625,Comedy
32625,Sci-Fi & Fantasy
244320,Drama
33667,Drama
54493,Reality
74201,Drama
74201,War & Politics
31424,Action & Adventure
31424,Drama
33163,Action & Adventure
33163,Animation
52968,Soap
52968,Drama
31997,Mystery
31997,Action & Adventure
31997,Crime
34479,Drama
67168,Documentary
33578,Kids
34510,Comedy
34510,Drama
31489,Comedy
50865,Drama
33544,Comedy
33544,Drama
45426,Drama
36160,Documentary
36160,Drama
36160,Talk
33487,Comedy
33487,Drama
33487,Unknown
238103,Drama
32023,Drama
32023,Comedy
38245,Documentary
35305,Comedy
35305,Animation
255579,Crime
33037,Drama
34602,Drama
34602,Comedy
32224,Drama
125338,Action & Adventure
125338,Animation
125338,Comedy
125338,Kids
36105,Documentary
36105,Crime
107991,Drama
107991,Crime
37418,Reality
231286,Drama
67066,
34052,Comedy
33921,Drama
131689,Drama
32538,Documentary
32315,Action & Adventure
32315,Animation
39902,Sci-Fi & Fantasy
39902,Family
50300,Documentary
50300,Comedy
50300,Reality
39052,Drama
39052,Comedy
32858,Animation
32858,Comedy
245476,Family
245476,Sci-Fi & Fantasy
37257,
32322,
110754,Documentary
76704,Kids
76704,Animation
38949,Sci-Fi & Fantasy
38949,Family
38949,Comedy
40401,Drama
37101,Animation
37101,Action & Adventure
37101,Drama
37101,Sci-Fi & Fantasy
84498,Family
84498,Drama
209983,Drama
101060,Reality
101060,Documentary
80417,Mystery
80417,War & Politics
80417,Drama
37631,Drama
44063,Sci-Fi & Fantasy
86716,Comedy
35761,Reality
31166,Reality
61395,Mystery
61395,Sci-Fi & Fantasy
61395,Drama
61395,Mystery
41627,Drama
37332,Documentary
107445,Documentary
34515,Comedy
34515,Drama
68644,Comedy
48977,Documentary
48977,Reality
32788,Drama
36243,Animation
36243,Comedy
36243,Drama
36243,Sci-Fi & Fantasy
44074,Comedy
44074,Unknown
44074,Drama
201154,Drama
51098,Comedy
51098,Family
51796,Comedy
32899,Comedy
36836,Animation
36836,Comedy
36836,Action & Adventure
33795,
157683,Drama
257174,Talk
32953,Drama
33858,Comedy
68821,Kids
32246,Action & Adventure
32246,Animation
32246,Comedy
109592,Talk
31393,Comedy
31393,Drama
34304,Drama
36323,Documentary
36323,Reality
45418,Animation
45418,Action & Adventure
45418,Sci-Fi & Fantasy
136294,
31868,Comedy
31868,Drama
46558,Drama
46558,Sci-Fi & Fantasy
33481,Reality
18653,Action & Adventure
18653,Drama
33800,Drama
218993,Comedy
218993,Family
34633,Drama
34633,Family
39916,Comedy
39916,Talk
72961,Comedy
72961,News
124959,Family
124959,Drama
209551,
108148,News
41448,Drama
121023,War & Politics
121023,Drama
34924,Drama
34924,Comedy
243725,Comedy
243725,Drama
243725,Family
65316,Animation
65316,Action & Adventure
65316,Sci-Fi & Fantasy
33831,Documentary
33831,Sci-Fi & Fantasy
229584,Drama
229725,Mystery
32456,Comedy
31857,Family
31857,Drama
34636,Drama
60896,Drama
154017,Comedy
154017,Mystery
154017,Crime
34503,Drama
34503,Comedy
52440,
126329,Drama
80854,Drama
130544,Reality
130544,Comedy
31927,Comedy
81032,Drama
94512,Comedy
48660,Comedy
48660,Family
32124,
32940,Drama
157426,
51793,Animation
51793,Comedy
33929,Drama
31770,Comedy
46241,Drama
46241,Crime
33168,Reality
33168,Documentary
33168,Mystery
128609,Mystery
128609,Drama
21763,Comedy
34527,Animation
34527,Comedy
34527,Action & Adventure
227933,Reality
205108,
45923,Sci-Fi & Fantasy
45923,Drama
45923,Comedy
109555,
48235,Drama
91232,Drama
45607,Action & Adventure
45607,Comedy
46580,Comedy
